lemma	domains	subdomains	definitions
εξερχομαι	'[''Linear Movement'', ''Be, Become, Exist, Happen'', ''Physiological Processes and States'', ''Behavior and Related States'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Exist'', ''Birth, Procreation'', ''Behavior, Conduct'']'	'[''to move out of an enclosed or well-defined two or three-dimensional area'', ''to go out of existence'', ''(an idiom, literally: to come out from the loins, genitals) to be born as the result of the male role in begetting an offspring'', ''(idiom, literally: to go in and to go out) to live or to conduct oneself in relationship to some community or group'']'
εξεταζω	'[''Learn'', ''Communication'']'	'[''Try To Learn'', ''Question, Answer'']'	'[''to engage in a careful search in order to acquire information, though primarily by inquiry'', ''to inquire intently, with the implication of careful examination'']'
εξιλασκομαι	'[''Religious Activities'']'	'[''Religious Practice'', ''Sin, Wrongdoing, Guilt'']'	To make atonement or propitiate
εξιλασμα	'[''Religious Activities'']'	'[''Religious Practice'', ''Sin, Wrongdoing, Guilt'']'	Atonement or propitiation
εξιχνιαζω	'[''Attitudes and Emotions'', ''Think'']'	'[''Pursue, Follow'']'	To trace out or track down
εξοδιον	'[''Religious Activities'']'	'[''Religious Practice'']'	A concluding festival or final ceremony
εξοδος	'[''Linear Movement'', ''Physiological Processes and States'']'	'[''Leave, Depart, Flee, Escape, Send'', ''Live, Die'']'	'[''motion from or out of a region (in {S:05801102200012}, the only occurrence of ἔξοδος[a] in the NT, the reference is to Israels departure from Egypt)'', ''to depart from life, as a euphemistic expression for death{N:001}'']'
εξοζω	'[''Sensory Events and States'']'	'[''Fragrance, Odor'']'	To smell or emit an odor
εξολεθρευσις	'[''Hostility, Strife'', ''Hostility, Strife'']'	'[''Destroy'']'	Utter destruction or annihilation
εξολοθρευω	'[''Hostility, Strife'', ''Hostility, Strife'']'	'[''Destroy'']'	To destroy utterly or annihilate
εξομολογεω	'[''Communication'', ''Communication'', ''Communication'', ''Communication'', ''Communication'']'	'[''Agree'', ''Profess Allegiance'', ''Admit, Confess, Deny'', ''Thanks'', ''Praise'']'	'[''to indicate agreement with a proposition or offer'', ''to express openly one’s allegiance to a proposition or person'', ''to acknowledge a fact publicly, often in reference to previous bad behavior'', ''to acknowledge one’s thankfulness, restricted in NT usage to contexts in which God is the one being thanked'', ''to express praise or honor, with a possible implication of acknowledging the nature of someone or something (occurring in the NT only in quotations from the Septuagint)'']'
εξομολογησις	'[''Communication'']'	'[''Acknowledge'', ''Admit, Confess, Deny'']'	Confession or acknowledgment
εξοπισθεν	'[''Spacial Positions'']'	'[''In Front Of, Face To Face, In Back Of, Behind'']'	From behind or at the back
εξουδενημα	'[''Attitudes and Emotions'']'	'[''Despise, Scorn, Contempt'']'	An object of contempt
εξουδενοω	'[''Attitudes and Emotions'']'	'[''Despise, Scorn, Contempt'']'	To despise or treat with contempt
εξουδενωμα	'[''Attitudes and Emotions'']'	'[''Despise, Scorn, Contempt'']'	An object of contempt
εξουδενωσις	'[''Attitudes and Emotions'']'	'[''Despise, Scorn, Contempt'']'	Contempt or disdain
εξουθενοω	'[''Attitudes and Emotions'']'	'[''Despise, Scorn, Contempt'']'	To despise or consider worthless
εξουσια	'[''Control, Rule'', ''Control, Rule'', ''Control, Rule'', ''Control, Rule'', ''Control, Rule'', ''Power, Force'', ''Supernatural Beings and Powers'', ''Think'']'	'[''Exercise Authority'', ''Exercise Authority'', ''Exercise Authority'', ''Exercise Authority'', ''Control, Restrain'', ''Supernatural Powers'', ''To Distinguish, To Evaluate, To Judge'']'	'[''the right to control or govern over'', ''the domain or sphere over which one has authority to control or rule'', ''a means or instrument by which authority is marked or symbolized'', ''one who has the authority to rule or govern'', ''a state of control over someone or something'', ''the power to do something, with or without an added implication of authority'', ''(title for supernatural forces and powers) a supernatural power having some particular role in controlling the destiny and activities of human beings'', ''the right to judge on the basis of having the potential to evaluate'']'
εξω	'[''Spacial Positions'', ''Spacial Extensions'', ''Groups and Classes of Persons and Members of Such Groups and Classes'', ''Body, Body Parts, and Body Products'']'	'[''Around, About, Outside'', ''Extension To a Goal'', ''General'', ''Body'']'	'[''a position not contained within a particular area'', ''extension to a goal which is outside a presumed area'', ''(a figurative extension of meaning of {L:ἔξω<SDBG:ἔξω:000000>}[a] ‘outside,’ {D:83.20}) a person who is not a member of a particular in-group'', ''(an idiom, literally: the outside person) the physical nature or aspect of a person'']'
εξωθεν	'[''Spacial Extensions'', ''Spacial Positions'', ''Spacial Positions'', ''Groups and Classes of Persons and Members of Such Groups and Classes'']'	'[''Extension From a Source'', ''Around, About, Outside'', ''Around, About, Outside'', ''General'']'	'[''extension from a source which is outside'', ''a position not contained within a particular area'', ''the outside surface of an object'', ''(a figurative extension of meaning of ἔξωθεν[a] ‘from outside,’ {D:83.20}) a person who is not a member of a particular in-group'']'
εξωθεω	'[''Linear Movement'', ''Maritime Activities'']'	'[''Leave, Depart, Flee, Escape, Send'']'	'[''to force someone or something to leave'', ''the movement of a ship being driven ashore'']'
εορταζω	'[''Festivals'']'	'[''Religious Practice'']'	'[''to celebrate a festival or feast'']'
εορτη	'[''Festivals'']'	'[''Religious Practice'']'	'[''the events associated with the celebration of a festival or feast'']'
επαγγελια	'[''Communication'', ''Communication'']'	'[''Promise'', ''Agree'']'	'[''(derivative of {L:ἐπαγγέλλομαι<SDBG:ἐπαγγέλλομαι:000000>}[a] ‘to promise,’ {D:33.286}) the content of what is promised{N:001}'', ''the content of one’s agreement or approval'']'
επαγω	'[''Be, Become, Exist, Happen'']'	'[''State'']'	'[''to cause a state to be{N:001}'']'
επαδω	'[''Communication'']'	'[''Sing, Lament'', ''Magic'']'	to chant or recite, especially as an incantation
επαινεω	'[''Communication'']'	'[''Praise'']'	'[''to speak of the excellence of a person, object, or event'']'
επαινος	'[''Communication'', ''Communication'']'	'[''Praise'', ''Praise'']'	'[''to speak of the excellence of a person, object, or event'', ''that which is worthy of or deserves praise'']'
επαιρω	'[''Linear Movement'', ''Attitudes and Emotions'', ''Hostility, Strife'', ''Sensory Events and States'', ''Communication'', ''Hostility, Strife'', ''Moral and Ethical Qualities and Related Behavior'']'	'[''Come/Go Up, Ascend'', ''Courage, Boldness'', ''Opposition, Hostility'', ''See'', ''Speak, Talk'', ''Rebellion'', ''Arrogance, Haughtiness, Pride'']'	'[''to cause to move up'', ''(an idiom, literally: to raise up the head) to demonstrate courage in the face of danger or adversity'', ''(an idiom, literally: to lift one’s heel against) to oppose someone by turning against such a person, possibly with focus upon the initial aspect of becoming opposed to'', ''(an idiom, literally: to lift up the eyes) to direct one’s attention to something by looking closely at'', ''(an idiom, literally: to raise the voice) to increase the volume with which one speaks, so as to overcome existing noise or the speech of someone else'', ''(a figurative extension of meaning of ἐπαίρομαι ‘to rise up,’ not occurring in the NT) to rise up in opposition against'', ''to become haughty in one’s attitude toward others'']'
επαισχυνομαι	'[''Attitudes and Emotions'']'	'[''Shame, Disgrace, Humiliation'']'	'[''to experience or feel shame or disgrace because of some particular event or activity{N:001}'']'
επαιτεω	'[''Communication'']'	'[''Ask For, Request'']'	'[''to ask for charity'']'
επακουω	'[''Sensory Events and States'']'	'[''Hear'']'	'[''to listen to someone, with the implication of heeding and responding to what is heard'']'
επανιστημι	'[''Hostility, Strife'']'	'[''Rebellion'']'	'[''to rise up in open defiance of authority, with the presumed intention to overthrow it or to act in complete opposition to its demands{N:001}'']'
επανω	'[''Spacial Positions'', ''Degree'', ''Status'']'	'[''Above, Below'', ''More Than, Less Than [Comparative Degree]'', ''High Status or Rank [including persons of high status]'']'	'[''a position above another, whether or not in contact'', ''a degree which is significantly in excess of some amount'', ''a marker of superior status, suggesting an additional factor of degree'']'
επαρσις	'[''Attitudes and Emotions'']'	'[''Arrogance, Haughtiness, Pride'']'	lifting up, exaltation, pride
επαυλις	'[''Constructions'']'	'[''Buildings'']'	'[''property in which a person was expected to reside, either as the result of ownership or legal contract'']'
επει	'[''Relations'']'	'[''Cause and/or Reason'']'	'[''a marker of cause or reason, often with the implication of a relevant temporal element{N:001}'']'
επειδον	'[''Think'']'	'[''To Think About, with the Implied Purpose of Responding Appropriately'']'	'[''to take special notice of something, with the implication of concerning oneself'']'
επελπιζω	'[''Attitudes and Emotions'']'	'[''Hope, Look Forward To'']'	to hope for or expect confidently
επερχομαι	'[''Linear Movement'', ''Hostility, Strife'', ''Be, Become, Exist, Happen'']'	'[''Come, Come To, Arrive'', ''Attack'', ''Happen'']'	'[''to move to or on to, generally with the implication of having arrived'', ''to use sudden physical force against someone as the outgrowth of a hostile attitude'', ''to happen to someone or something, with the implication of an event which is undesirable'']'
επερωταω	'[''Communication'', ''Communication'', ''Courts and Legal Procedures'']'	'[''Question, Answer'', ''Ask For, Request'', ''Judicial Hearing, Inquiry'']'	'[''to ask for information{N:001}'', ''to ask for, usually with the implication of an underlying question{N:002}'', ''to attempt in a legal or semi-legal procedure to know the truth about a matter, normally by interrogation'']'
επι	'[''Spacial Positions'', ''Spacial Positions'', ''Spacial Positions'', ''Spacial Positions'', ''Spacial Extensions'', ''Spacial Extensions'', ''Case'', ''Case'', ''Case'', ''Case'', ''Case'', ''Relations'', ''Control, Rule'', ''Relations'', ''Relations'', ''Case'', ''Relations'', ''Degree'', ''Time'', ''Time'', ''Case'', ''Time'', ''Time'', ''Control, Rule'', ''Control, Rule'', ''Know'', ''Time'']'	'[''On, Upon, On the Surface Of'', ''At, Beside, Near, Far'', ''Among, Between, In, Inside'', ''In Front Of, Face To Face, In Back Of, Behind'', ''Extension To a Goal'', ''Extension To a Goal'', ''Responsibility'', ''Experiencer'', ''Instrument'', ''Opposition'', ''Benefaction'', ''Addition'', ''Control, Restrain'', ''Cause and/or Reason'', ''Purpose'', ''Content'', ''Basis'', ''Up To, As Much As, To the Degree That [Marked Extent of Degree]'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout'', ''Agent, Personal or Nonpersonal, Causative or Immediate, Direct or Indirect'', ''A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'', ''Assign to a Role or Function'', ''Exercise Authority'', ''Able To Be Known'', ''Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young'']'	'[''a position on a surface of an object, whether vertical or horizontal, and in contact with the object'', ''a position in proximity to or in the immediate vicinity of an object or other position'', ''a position within an area determined by other objects and distributed among such objects{N:001}'', ''a position before, with the implication of a relationship of authority'', ''extension toward a goal, usually implying reaching the goal{N:002}'', ''extension to a goal, with implied contact on a horizontal surface'', ''(with the accusative) a marker of the one upon whom responsibility falls'', ''a marker of the experiencer, often with the implication of an action by a superior force or agency'', ''(with the dative) a marker of instrument as the basis for some event'', ''(with the accusative or dative) a marker of opposition in a judicial or quasijudicial context'', ''(with the dative) a marker of persons benefited by an event, with the implication of their being in a dependent relationship'', ''a marker of an addition to what already exists, but with the possible implication of something more significant'', ''a marker of the object over which someone exercises a control or authority'', ''a marker of cause or reason as the basis for a subsequent event or state'', ''a marker of purpose, pointing to the goal of an event or state'', ''(with the genitive) a marker of content as a means of specifying a particular referent'', ''a marker of the basis of some event'', ''a degree extending to a particular point as marked by the context'', ''a marker of a point of time which is simultaneous to or overlaps with another point of time{N:003}'', ''a marker of the extent of time within a unit'', ''(with the accusative) a marker of agent, with the added implication of effect upon the agent'', ''(an idiom, literally: at the doors) a point of time subsequent to another point of time and indicating imminence, that is to say, the subsequent event is regarded as almost begun'', ''pertaining to a relatively long duration of time'', ''(an idiom, literally: upon someone’s head) to accept responsibility for some action, often with the implication of blame'', ''(an idiom, literally: to sit upon the seat of Moses) to have the capacity to interpret the Law of Moses with authority{N:004}'', ''(an idiom, literally: on the housetops) pertaining to being widely known in view of the events in question having taken place in public{N:005}'', ''(an idiom, literally: upon enough) duration of time for a considerable period, with the focus upon sufficiency of time'']'
